Amateur,Aficionado
background,Fondo
cloth,Tela
backing paper,Respaldando papel
bath positive,El baño positivo
silver,Plata
bulb,Bombilla
camera,Cámara
bellows,Fuelle
camera hand,Mano de cámara
stand,Posición
cutting moulds,Moldes tajantes
dark-room lamp,Lámpara de habitación oscura
dark slide,Deslizamiento oscuro
developing,En desarrollo
dipper,Cucharón
dishes,Embute
for developing,Para en desarrollo
for fixing,Para fijar
for toning,Para viraje
draining rack,Drenando atormenta
dry plates,Platos secos
enlargement,Ampliación
exposure,Exposición
snap,Chasquea
time,Tiempo
fade to,se apaga a
flash lamp,Centellea lámpara
films,Filma
fixing,Fijando
focus,Foco
focus to,Foco a
funnel,Embudo
glass measure,Medida de vaso
half-length,Mitad-longitud
half-tone,Mitad-tono
intensifying,Intensificando
lens,Lentes
cap of,Gorra de
mount to,Monte a
negative,Negativo
over-exposed,Encima-expuesto
photograph,Fotografía
photographer,Fotógrafo
plate,Plato
plate-holder,Plato-titular
plate-lifter,Plato-*lifter
printing,Impresión
printing frame,Marco de impresión
printing-out paper,Impresión-fuera papel
scales and weights,Balanza y pesos
sensitised,Sensibilizado
snap-shot,Chasquea-disparado
speed indicator,Indicador de velocidad
spirit-level,Espíritu-nivel
spot stain,Mancha de sitio
stand,Posición
transparent,Transparente
tripods,Trípodes
under-exposed,Debajo-expuesto
view-finder,Vista-visor
