Ball,Pelota
balloon,Balón
circus,Circo
concert,Concierto
audience,Audiencia
bass,Bajos
chorus,Coro
conductor,Director
instruments,Equipa
brass,Latón
string,Cuerda
music,Música
organ,Órgano
piano,Piano
programme,Programa
recital,Recital
seats,Sienta
reserved,Reservado
singer,Cantante
solo,Solo
song,Canción
tenor,Tenor
ticket,@Ticket
violin,Violín
exhibition,Exposición
flower-show,Flor-espectáculo
flying machine,Máquina de vuelo
museum,Museo
picture-gallery,Cuadro-galería
sports and games,Deportes y juegos
bathing,Bañando
billiards,Billares
box to,Caja a
boxing-match,Boxeo-partido
chess,Ajedrez
cricket,Criquet
draughts,Tragos
fishing,Pesca
to fish,A pez
to go fishing,Para ir pesca
fishing-line,Pesca-línea
fishing-net,Pesca-neto
fishing-rod,Pesca-varilla
hunting,Caza
fox-hunt,Zorro-caza
match,Partido
playing,Jugando
races,Corre
grand-stand,Magnífico-posición
race-course,Carrera-curso
rowing,Remando
shooting,Tiroteo
ammunition,Munición
bullet ball,Pelota de bala
cartridge,Cartucho
game-bag,Juego-bolsa
gun,Pistola
shot,Tiro
to shoot,A brote
skating,Patinaje
spectator,Espectador
swimming,Natación
tennis,Tenis
to wrestle,A *wrestle
tent,Tienda
theatre,Teatro
act,Acto
to,A
actor actress,Actriz de actor
auditorium,Auditorio
ballet,Ballet
boxes,Boxea
box-office,Caja-oficina
curtain,Cortina
dance,Baile
dancer,Bailarín
exit,Salida
gallery,Galería
manager,Director
music-hall,Música-sala
opera,Ópera
opera-glasses,Ópera-vasos
opera-house,Ópera-casa
orchestra band,Banda de orquesta
pit,Fosa
play,Juego
scene,Escena
stage,Etapa
stage-manager,Etapa-director
stalls,Para
