Age,Edad
old,Viejo
anger,Rabia
art,Arte
character,Carácter
childhood,Niñez
depth,Profundidad
dislike,Aversión
emotions,Emociones
fear,Miedo
foolishness folly,Locura de tontería
goodness,Bondad
greatness,Grandeza
hatred,Aversión
height,Altura
stature,Estatura
honesty,Honradez
honour,Honor
intellect,Intelecto
intelligence,Inteligencia
joy,Alegría
judgment,Juicio
knowledge,Conocimiento
laughter,Risa
learning,Aprendizaje
length,Longitud
love,Amor
mind,Mente
patience,Paciencia
pleasure,Placer
reason,Razón
science,Ciencia
senses the,Nota el
feeling touch,Tacto de sentimiento
hearing,Oído
seeing sight,Viendo vista
smelling smell,Oliendo olor
tasting taste,Gusto de cata
shape,Forma
size,Medida
smell,Olor
smiling,Sonriendo
speaking speech,Hablando discurso
strength,Fuerza
stupidity,Estupidez
surprise,Sorpresa
taste,Gusto
thickness,Grosor
thinking thought,Pensamiento de pensamiento
thought a,Pensado un
voice,Voz
weakness,Debilidad
wisdom,Cordura
womanhood,Condición de mujer
youth,Juventud
