Arrival,Llegada
bill,Factura
booking-office,Reservando-oficina
box,Caja
brake,Freno
carriage,Transporte
change to,Cambio a
coach,Entrenador
coffee-room,Café-habitación
communication-cord,Comunicación-cordón
compartment,Compartimento
conductor,Director
cushion,Cojín
custom-house,Hecho de encargo-casa
custom-house officer,Agente de casa #hecho
departure,Salida
electric electrical,Eléctrico eléctrico
electricity,Electricidad
engine,Motor
entrance,Entrada
excursion,Excursión
exit,Salida
express,Expresa
fare,Boleto
fast train,Tren de ayuno
foot-warmer,Pies-más tibios
full,Lleno
guide,Guía
guide-book,Guía-libro
hat-box,Sombrero-cajas
hotel,Hotel
inside,Interior
interpreter,Intérprete
journey,Viaje
journey,Viaje
junction,Cruce
key,Llave
label,Etiqueta
landlord,Dueño
lodging,Alojando
luggage,Equipaje
motor,Motor
motor bus,Autobús de motor
motor-car,Motor-automovilístico
outside,Exterior
package,Paquete
payment,Pago
platform,Plataforma
porter,Portero
rack,Atormenta
railway,Ferrocarril
railway-carriage,Ferrocarril-transporte
railway-station,Ferrocarril-estación
receipt,Recibo
reins,Riendas
reserved,Reservado
rug,Alfombra
saddle,Sillín
seat,Asiento
signal,Señal
start the,Inicio el
station-master,Estación-maestro
strap,Correa
ticket,@Ticket
time-table,Tiempo-mesa
tour,Visita
tourist,Turista
track,Pista
train,Tren
tram-car,Tranvía-automovilístico
tramway,Tranvía
travel to,Viaje a
trunk,Tronco
tube,Tubo
tunnel,Túnel
underground,Subterráneo
waiter,Camarero
waiting-room,Esperando-habitación
