Accessories,Accesorios
axle,Eje
back-pedal to,Espalda-pedial a
ball bearings,Pelota *bearings
bell,Campana
bicycle,Bicicleta
bolt,Tornillo
brake,Freno
cement,Cemento
chain,Cadena
chain-regulator,Cadena-regulador
chain-wheel,Cadena-rueda
cone,Cono
crank,Manivela
crank-pin,Manivela-alfiler
crooked,Cuervo
cycle-shop,Ciclo-tienda
cycling race,Carrera de ciclismo
cycling track,Pista de ciclismo
cyclist,Ciclista
lady cyclist,Ciclista de señora
detachable,Separable
dress-guard,Vestido-guardia
enamel to,Esmalte a
foot-rests,Pies-restos
foot-step,Pies-paso
fork,Tenedor
frame,Marco
free-wheel,Liberar-rueda
free-wheel to,Liberar-rueda a
friction,Fricción
gear,Marcha
high gear,Marcha alta
low gear,Marcha baja
two-speed gear,Marcha de dos velocidades
gear-case,Marcha-caso
handle-bar,Mango-barra
handles grips,Maneja agarradores
inner tube,Tubo interior
lamp,Lámpara
lamp-bracket,Lámpara-paréntesis
lamp-wick,Lámpara-*wick
light up to,Alumbra a
link,Enlace
luggage-carrier,Equipaje-cargador
map,Mapa
mount to,Monte a
nut,Fruto seco
nut safety-,Seguridad de fruto seco-
oil for burning,Aceite para en llamas
lubricating,Lubricando
oil-can,Aceite-lata
outer cover,Cubierta exterior
pedal,Pedal
pedal-rubber,Pedial-goma
pedal-brake,Pedial-freno
pneumatic tyre,Neumático neumático
pump,Bomba
pump up to,Bomba hasta
pump-tube,Bomba-tubo
to put together fit up to,Para poner junto cabe hasta
repair to,Reparación a
repairing outfit,Reparando *outfit
ride a bicycle to,Paseo una bicicleta a
rim,Brocal
rim-brake,Brocal-freno
rivet,Ribete
saddle,Sillín
saddle-bag,Sillín-bolsa
saddle-pillar,Sillín-pilar
screw,Tornillo
screw to,Tornillo a
screw-bolt of chain,Tornillo-tornillo de cadena
screwdriver,Destornillador
spring,Primavera
start to,Inicio a
strap,Correa
take to pieces to,Toma a piezas a
tighten up to,Aprieta hasta
toe-clip,Dedo-clip
tricycle,Triciclo
trousers-clip,Pantalones-clip
unscrew to,Desenrosca a
valve,Válvula
valve-cap,Válvula-gorra
valve-tubing,Que entuba válvula
wheel back,Espalda de rueda
front,Frente
